=== axes diagnostic — both controllers ===
Sequence: 1) hold still (home capture)  2) both hands DOWN  3) both hands FORWARD  4) both hands to the SIDES
  t(s)      L_X     L_Y     L_Z        R_X     R_Y     R_Z
  17.8   -0.807  +0.503  -0.013     +0.551  +0.539  -0.065
  18.0   -0.805  +0.442  -0.026     +0.554  +0.502  -0.090
  18.2   -0.795  +0.352  -0.056     +0.555  +0.442  -0.112
  18.4   -0.761  +0.240  -0.082     +0.536  +0.332  -0.156
  18.6   -0.697  +0.122  -0.092     +0.480  +0.177  -0.177
  18.8   -0.605  +0.013  -0.074     +0.389  +0.024  -0.143
  19.0   -0.479  -0.086  -0.060     +0.285  -0.078  -0.118
  19.2   -0.375  -0.130  -0.058     +0.200  -0.125  -0.108
  19.4   -0.315  -0.147  -0.060     +0.142  -0.140  -0.108
  19.6   -0.281  -0.150  -0.076     +0.104  -0.148  -0.089
  19.8   -0.251  -0.151  -0.086     +0.070  -0.156  -0.066
  20.0   -0.251  -0.148  -0.090     +0.061  -0.155  -0.073
  20.2   -0.243  -0.142  -0.103     +0.056  -0.153  -0.079
  20.4   -0.242  -0.134  -0.104     +0.037  -0.140  -0.105
  20.6   -0.232  -0.101  -0.181     +0.006  -0.097  -0.156
  20.8   -0.200  -0.014  -0.320     -0.039  -0.030  -0.230
  21.0   -0.142  +0.061  -0.387     -0.065  +0.033  -0.284
  21.2   -0.114  +0.097  -0.471     -0.060  +0.073  -0.361
  21.4   -0.011  +0.108  -0.503     +0.037  +0.075  -0.391
  21.6   +0.112  +0.109  -0.446     +0.149  +0.064  -0.316
  21.8   +0.097  +0.131  -0.459     +0.142  +0.080  -0.337
  22.0   +0.069  +0.151  -0.489     +0.113  +0.107  -0.376
  22.2   +0.061  +0.156  -0.500     +0.099  +0.111  -0.392
  22.4   +0.060  +0.162  -0.507     +0.096  +0.119  -0.401
  22.6   +0.053  +0.162  -0.507     +0.090  +0.119  -0.402
  22.8   +0.050  +0.164  -0.505     +0.088  +0.122  -0.401
